#scientific name	type materials and coidentical strains	has sequences from type material?	number of assemblies per taxon	number of assemblies from type materials per taxon	number of assemblies from type materials per species
'Bacillus oceani' Liu et al. 2013	DSM 26213,DSM:26213,KCTC 33077,KCTC:33077,SCSIO 04524,SCSIO:04524	yes	0	0	0
'Burkholderia humi' Srinivasan et al. 2013	JCM 18069,JCM:18069,KEMC 7302-068,KEMC:7302-068,Rs7	yes	0	0	0
'Deinococcus soli' Zhang et al. 2011	CCTCC AB 208223,CCTCC:AB 208223,KCTC 13419,KCTC:13419,ZLM-202,culture-collection:CCTCC:AB:208223	yes	0	0	0
'Lysobacter humi' Akter et al. 2016	CCTCC AB 2015292,CCTCC:AB 2015292,KACC 18284,KACC:18284,THG-PC4,culture-collection:CCTCC:AB:2015292	yes	0	0	0
'Massilia aquatica' Holochova¦ü et al. 2020	BCCM/LMG:31211,CCM 8693,CCM:8693,LMG 31211,LMG:31211,P3165	no	0	0	0
'Massilia aquatica' Lu et al. 2020	FT127W,GDMCC 1.1690,GDMCC:1.1690,KACC 21482,KACC:21482	yes	0	0	0
'Micromonospora endophytica' Thanaboripat et al. 2015	BCC 67267,BCC&lt;THA&gt;:67267,DCWR9-8-2,NBRC 110008,NBRC:110008,culture-collection:BCC:67267	yes	0	0	0
'Nocardioides flavus' Ruan and Zhang 1979	71-N54,IFO 14396,IFO:14396,KCTC 9643,KCTC:9643,NBRC 14396,NBRC:14396,NRRL B-16231,NRRL:B-16231,culture-collection:NRRL:B:16231	yes	0	0	0
'Novosphingobium aquaticum' Singh et al. 2015	CCTCC AB 2015114,CCTCC:AB 2015114,KCTC 42608,KCTC:42608,THW-SA1,culture-collection:CCTCC:AB:2015114	yes	0	0	0
'Paenibacillus cucumis' Ahn et al. 2014	CO 4-7	yes	0	0	0
'Paenibacillus yunnanensis' Narsing Rao et al. 2020	CGMCC 1.17384,CGMCC:1.17384,KCTC 43132,KCTC:43132,SYSU G01003	yes	0	0	0
'Shewanella arctica' Qoura et al. 2014	40-3,DSM 16509,DSM:16509,JCM 14208,JCM:14208	yes	0	0	0
